Validation,Recall,Precision,F1,AUC
1st,0.998792270531401,0.973170157684161,0.985814757420431,0.928299670270685
2nd,0.996251058169065,0.973413683091102,0.984699976093713,0.926693258742755
3rd,0.998669891172914,0.973135383527748,0.985737303813332,0.929333692579818
4th,0.997932125045615,0.973768545994065,0.985702270815812,0.929152692031459
5th,0.997466216216216,0.974192788121612,0.985692142601646,0.929195869450882
